,percentage,size
0,108.17478959072523,1190400
1,17.12750351279333,2868736
2,74.90847391435047,92672
3,42.91994287858887,109056
4,32.23788362482093,18944
5,105.01140307498733,158720
6,32.35760881692362,24576
7,,69288
8,108.75150041797625,1129472
9,104.01774454636933,230400
10,64.20893509774542,819096
11,41.222248944710245,183704
12,97.61958907513464,150112
13,42.591560399077416,171928
14,44.14053597607378,231224
15,39.075900010214916,25600
16,34.374400556516726,30208
17,72.56515305826046,62464
18,33.685985829615845,21504
19,14.062177216956838,604024
20,38.12156839787653,34816
21,,134888
22,36.26744859099057,60416
23,40.7681223786327,112640
24,55.676601331696574,19352
25,44.76528411195038,36864
26,45.566757534830224,1113600
27,89.65928734380559,209920
28,19.549266460600997,457728
29,36.639033711463206,366080
30,43.863503085823496,132608
31,63.41038256157469,52736
32,,287256
33,108.33922940464704,362176
34,36.12171837946206,139776
35,74.84381822588739,203264
36,34.16977405889991,92160
37,32.45599707703666,25600
38,79.2984450127808,107416
39,69.24559867851063,19968
40,90.33723819929484,331264
41,,27032
42,62.09263521260551,40448
43,38.00280779852446,58880
44,32.12575687636443,32768
45,59.46129609285041,27648
46,,33632
47,,72392
48,75.9712345281449,51712
49,67.82337378938138,506368
50,76.59440008404516,1542144
51,45.40182992108816,17408
52,,101280
53,35.29030694372565,188416
54,42.022859709626644,29696
55,52.02928536028058,22528
56,53.70447475581569,24576
57,42.47047416853551,21504
58,35.69264042161106,25088
59,34.87809310826423,21504
60,60.7495064338277,33280
61,33.596496892212905,46080
62,28.660743170454836,177168
63,30.288136888612545,219648
64,65.75269350541969,30720
65,60.94939729613596,29696
66,24.377940549528375,1263592
67,33.811964575251295,77208
68,,92032
69,,198440
70,84.87680802711488,272896
71,36.21831037833184,20480
72,22.51392542038121,51712
73,53.1189539272169,41984
74,51.16923741787053,92672
75,34.47592922166254,23552
76,35.05047003022688,25088
77,30.944909529700393,44544
78,29.70862987544015,144896
79,45.924077321571716,90112
80,51.055464946085245,74240
81,35.70342471800041,50688
82,51.010719531136296,157592
83,62.95261038577069,117760
84,36.62387081301854,20992
85,74.4620931245126,232960
86,76.03518050822511,70656
87,,114696
88,37.452971377353165,37376
89,108.16029556469309,164864
90,65.66989567850483,10752
91,64.56421452549407,325120
92,65.25943262697923,41472
93,88.1809061492,94208
94,,203672
95,67.7127425317177,84992
96,80.62253036786169,139264
97,75.66588049559512,657408
98,64.85383392696795,11776
99,65.13137807936434,37888
100,33.39917500377959,185856
101,38.34806539751489,74752
102,28.878465838057977,35328
103,41.05778117578864,76288
104,36.05636386390926,27136
105,82.96761533473905,356352
106,30.411460766716825,92672
107,65.9854390328449,51712
108,72.75291297750019,575488
109,30.952347766514603,37376
110,83.87933809165015,154112
111,37.28150747661267,24576
112,23.78301234693192,335360
113,31.92032643377532,87040
114,117.60877055339085,298392
115,75.42571753659925,123392
116,,1930768
117,31.94922370159343,72192
118,42.300055426814204,20888
119,42.358908156261485,12288
120,40.57109425999574,164864
121,29.22121262515091,38400
122,34.89895156361186,102912
123,,31744
124,32.85175180928336,34816
125,37.83383262197512,32256
126,34.31921621404064,18944
127,33.11687817577941,76800
128,72.90807753021934,9728
129,71.35969630190962,80896
130,28.8789145767749,73216
131,28.432626323940987,160256
132,,29184
133,112.18595251497521,730624
134,44.42381924502461,12800
135,46.04081638346936,34816
136,66.84073455210074,12288
137,36.45650648867506,70656
138,76.1603754679129,196096
139,97.70521196973682,1178112
140,113.22483274408995,398336
141,92.60181989707876,357888
142,78.90365636065913,303616
143,34.55944490300808,13312
144,42.41933522988254,303104
145,,72056
146,29.252839926020243,64512
147,65.88609366364783,144896
148,,59392
149,39.79098880061853,95232
150,33.08111214112131,14336
151,64.9902450518991,128512
152,70.20699379339844,333824
153,92.67689352593865,355328
154,31.95544153879132,41984
155,60.33990373193655,83456
156,77.69385045796797,64512
157,26.25099914984935,34304
158,36.36472683928566,24576
159,58.23603601162363,138752
160,36.65424859546214,17408
161,33.55371613483305,34304
162,35.402399791782194,15872
163,51.59181947552285,20992
164,40.68287226289238,30208
165,,46080
166,41.54257018854107,111616
167,80.04867943607421,780056
168,32.77129969481163,120832
169,65.3338859966465,48640
170,32.836183619891,16896
171,39.485859319093485,98272
172,57.020298531874715,140800
173,85.34215529298521,163328
174,34.677098701587056,55296
175,33.12859517777775,174080
176,34.046946248894265,162304
177,106.40048516015159,239616
178,94.81570675701806,640512
179,61.68047648310532,19456
180,99.27145758291334,299008
181,,1297920
182,37.42224024561841,657016
183,41.969459559322175,83456
184,48.53459836977579,222208
185,28.91347644878693,44032
186,28.63672239024345,29184
187,26.99091169730822,50688
188,66.315796482921,65024
189,65.95541302250045,11776
190,35.58108064841568,13824
191,82.72509461691715,1072952
192,84.48109716757253,1252664
193,36.88998295843941,111648
194,28.325683965324355,47104
195,52.6314444150705,184320
196,83.79067949949265,515256
